team_id,date,opponentID,opponentName,goals,goals against,isHome,Ball possession,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Ball possession against,Expected goals (xG) against,Total shots against,Shots on target against,Big chances against,Big chances missed against,Accurate passes against,Fouls committed against,Corners against,Shots,Shots off target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Shots against,Shots off target against,Blocked shots against,Hit woodwork against,Shots inside box against,Shots outside box against,xG open play,xG set play,xG non-penalty,xG on target (xGOT),xG open play against,xG set play against,xG non-penalty against,xG on target (xGOT) against,Passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Touches in opposition box,Offsides,Passes against,Own half against,Opposition half against,Accurate long balls against,Accurate crosses against,Throws against,Touches in opposition box against,Offsides against,Defence,Tackles,Interceptions,Blocks,Clearances,Keeper saves,Defence against,Tackles against,Interceptions against,Blocks against,Clearances against,Keeper saves against,Duels,Duels won,Ground duels won,Aerial duels won,Successful dribbles,Duels against,Duels won against,Ground duels won against,Aerial duels won against,Successful dribbles against,Discipline,Yellow cards,Red cards,Discipline against,Yellow cards against,Red cards against,Points Earned,goals average,goals against average,Ball possession average,Expected goals (xG) average,Total shots average,Shots on target average,Big chances average,Ball possession against average,Expected goals (xG) against average,Total shots against average,Shots on target against average,Big chances against average,Touches in opposition box average,Touches in opposition box against average,Points Earned average,Total shots average/goals average,Shots on target average/goals average,Total shots against average/goals against average,Shots on target against average/goals against average
9876,2025-08-25T16:30:00.000Z,8600,Udinese,1,1,False,37.0,0.56,9.0,3.0,1.0,0.0,210 (73%),14.0,1.0,63.0,0.73,14.0,4.0,1.0,0.0,416 (87%),10.0,5.0,,4.0,2.0,1.0,2.0,7.0,,6.0,4.0,2.0,8.0,6.0,0.19,0.37,0.56,0.96,0.45,0.28,0.73,0.76,286.0,128.0,82.0,24 (41%),1 (13%),20.0,5.0,2.0,478.0,194.0,222.0,33 (69%),4 (19%),19.0,18.0,2.0,,22.0,10.0,4.0,26.0,4.0,,13.0,3.0,2.0,35.0,2.0,,56.0,41 (53%),15 (39%),9 (60%),,59.0,36 (47%),23 (61%),10 (56%),,2.0,0.0,,3.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9876,2025-08-31T18:45:00.000Z,8543,Lazio,0,4,False,30.0,0.92,12.0,4.0,0.0,0.0,236 (79%),19.0,1.0,70.0,4.13,22.0,6.0,6.0,2.0,643 (92%),8.0,8.0,,5.0,3.0,1.0,8.0,4.0,,8.0,8.0,0.0,14.0,8.0,0.84,0.08,0.92,0.80,3.06,1.08,4.13,3.63,300.0,164.0,72.0,23 (47%),2 (29%),12.0,20.0,1.0,702.0,285.0,358.0,37 (77%),4 (20%),17.0,31.0,1.0,,20.0,9.0,7.0,24.0,2.0,,9.0,14.0,3.0,5.0,4.0,,37.0,33 (46%),4 (24%),6 (43%),,52.0,39 (54%),13 (76%),11 (55%),,0.0,0.0,,0.0,0.0,0,1.0,1.0,37.0,0.56,9.0,3.0,1.0,63.0,0.73,14.0,4.0,1.0,5.0,18.0,1.0,0.111,0.333,0.071,0.25
9876,2025-09-15T16:30:00.000Z,7801,Cremonese,0,0,True,46.0,1.46,20.0,9.0,3.0,3.0,332 (81%),18.0,10.0,54.0,0.24,6.0,2.0,0.0,0.0,401 (82%),3.0,1.0,,6.0,5.0,0.0,12.0,8.0,,2.0,2.0,0.0,2.0,4.0,1.42,0.04,1.46,1.37,0.15,0.09,0.24,0.33,412.0,135.0,197.0,20 (40%),4 (17%),15.0,27.0,4.0,492.0,280.0,121.0,21 (36%),3 (43%),19.0,5.0,1.0,,11.0,9.0,2.0,21.0,3.0,,8.0,4.0,4.0,33.0,9.0,,40.0,23 (43%),17 (49%),9 (56%),,48.0,30 (57%),18 (51%),6 (55%),,2.0,0.0,,1.0,0.0,1,0.5,2.5,33.5,0.74,10.5,3.5,0.5,66.5,2.43,18.0,5.0,3.5,12.5,24.5,0.5,0.048,0.143,0.139,0.5
9876,2025-09-20T16:00:00.000Z,9885,Juventus,1,1,True,28.0,1.53,14.0,4.0,2.0,1.0,146 (68%),18.0,5.0,72.0,0.47,10.0,4.0,1.0,1.0,495 (87%),10.0,3.0,,8.0,2.0,0.0,7.0,7.0,,4.0,2.0,0.0,6.0,4.0,0.61,0.14,0.75,1.72,0.18,0.29,0.47,0.85,216.0,62.0,84.0,16 (36%),3 (23%),21.0,14.0,1.0,570.0,222.0,273.0,30 (61%),4 (20%),22.0,21.0,1.0,,23.0,15.0,2.0,21.0,3.0,,16.0,6.0,2.0,24.0,3.0,,43.0,33 (44%),10 (38%),1 (33%),,58.0,42 (56%),16 (62%),8 (38%),,3.0,0.0,,3.0,0.0,1,0.333,1.667,37.667,0.98,13.667,5.333,1.333,62.333,1.7,14.0,4.0,2.333,17.333,18.0,0.667,0.024,0.062,0.119,0.417
9876,2025-09-28T13:00:00.000Z,8686,Roma,0,2,False,43.0,1.38,12.0,3.0,2.0,2.0,217 (68%),19.0,1.0,57.0,0.95,10.0,5.0,2.0,1.0,315 (73%),11.0,8.0,,6.0,3.0,1.0,6.0,6.0,,2.0,3.0,0.0,6.0,4.0,1.28,0.10,1.38,0.49,0.66,0.29,0.95,2.23,320.0,107.0,110.0,15 (28%),7 (41%),23.0,18.0,2.0,432.0,165.0,150.0,16 (27%),4 (21%),26.0,16.0,0.0,,18.0,15.0,3.0,27.0,3.0,,16.0,7.0,2.0,25.0,3.0,,62.0,38 (54%),24 (49%),9 (53%),,58.0,33 (46%),25 (51%),0 (0%),,4.0,0.0,,0.0,0.0,0,0.5,1.5,35.25,1.117,13.75,5.0,1.5,64.75,1.393,13.0,4.0,2.0,16.5,18.75,0.75,0.036,0.1,0.115,0.375
9876,2025-10-03T18:45:00.000Z,7943,Sassuolo,0,1,True,58.0,0.80,17.0,9.0,0.0,0.0,348 (79%),14.0,4.0,42.0,1.67,11.0,3.0,2.0,1.0,238 (76%),12.0,2.0,,6.0,2.0,0.0,9.0,8.0,,4.0,4.0,0.0,6.0,5.0,0.58,0.22,0.80,1.42,0.36,0.53,0.88,1.55,438.0,151.0,197.0,23 (46%),4 (21%),23.0,25.0,0.0,315.0,149.0,89.0,23 (44%),3 (38%),18.0,17.0,1.0,,17.0,6.0,4.0,16.0,2.0,,15.0,7.0,2.0,36.0,9.0,,47.0,32 (48%),15 (43%),5 (38%),,54.0,34 (52%),20 (57%),7 (47%),,2.0,0.0,,3.0,0.0,0,0.4,1.6,36.8,1.17,13.4,4.6,1.6,63.2,1.304,12.4,4.2,2.0,16.8,18.2,0.6,0.03,0.087,0.129,0.381
9876,2025-10-18T13:00:00.000Z,6479,Pisa,0,0,False,40.0,1.54,15.0,3.0,2.0,2.0,197 (68%),14.0,8.0,60.0,0.65,7.0,0.0,0.0,0.0,377 (82%),8.0,3.0,,8.0,4.0,0.0,12.0,3.0,,5.0,2.0,0.0,5.0,2.0,1.36,0.18,1.54,0.31,0.31,0.34,0.65,0.00,290.0,86.0,111.0,22 (37%),7 (26%),41.0,27.0,2.0,459.0,222.0,155.0,41 (56%),3 (23%),22.0,17.0,0.0,,22.0,4.0,2.0,24.0,0.0,,11.0,5.0,4.0,56.0,3.0,,55.0,34 (56%),21 (40%),6 (60%),,58.0,27 (44%),31 (60%),3 (23%),,2.0,0.0,,4.0,0.0,1,0.2,1.6,41.0,1.218,15.0,5.8,1.4,59.0,1.492,11.8,4.0,2.2,20.8,18.0,0.4,0.013,0.034,0.136,0.4
9876,2025-10-26T14:00:00.000Z,8529,Cagliari,2,2,True,37.0,2.02,10.0,6.0,4.0,3.0,249 (70%),16.0,3.0,63.0,0.44,7.0,3.0,3.0,1.0,505 (84%),12.0,2.0,,1.0,3.0,1.0,7.0,3.0,,2.0,2.0,0.0,3.0,4.0,2.00,0.03,2.02,2.25,0.40,0.04,0.44,1.08,355.0,117.0,132.0,12 (21%),4 (33%),17.0,15.0,1.0,599.0,270.0,235.0,14 (34%),1 (10%),21.0,11.0,3.0,,20.0,11.0,2.0,18.0,1.0,,12.0,10.0,3.0,26.0,4.0,,57.0,37 (54%),20 (59%),7 (47%),,45.0,31 (46%),14 (41%),4 (25%),,3.0,0.0,,4.0,0.0,1,0.2,0.8,43.0,1.342,15.6,5.6,1.8,57.0,0.796,8.8,2.8,1.0,22.2,15.2,0.6,0.013,0.036,0.091,0.286
9876,2025-10-29T17:30:00.000Z,10171,Como,1,3,False,29.0,1.52,13.0,9.0,3.0,2.0,150 (62%),21.0,3.0,71.0,1.50,15.0,5.0,3.0,0.0,517 (88%),11.0,1.0,,2.0,2.0,0.0,11.0,2.0,,6.0,4.0,1.0,7.0,8.0,1.24,0.28,1.52,1.38,1.15,0.35,1.50,1.62,241.0,73.0,77.0,23 (37%),4 (50%),25.0,24.0,1.0,587.0,210.0,307.0,18 (46%),4 (20%),18.0,21.0,1.0,,21.0,9.0,4.0,22.0,2.0,,14.0,11.0,3.0,27.0,7.0,,50.0,34 (45%),16 (39%),3 (27%),,67.0,42 (55%),25 (61%),10 (59%),,4.0,0.0,,1.0,0.0,0,0.6,1.2,41.2,1.454,13.6,5.0,2.0,58.8,0.836,9.0,3.0,1.6,19.8,16.4,0.6,0.044,0.12,0.133,0.4
9876,2025-11-02T11:30:00.000Z,8636,Inter,1,2,True,27.0,0.38,8.0,2.0,0.0,0.0,177 (72%),16.0,4.0,73.0,1.11,21.0,6.0,2.0,2.0,580 (88%),4.0,8.0,,4.0,2.0,1.0,5.0,3.0,,6.0,9.0,0.0,13.0,8.0,0.36,0.02,0.38,0.31,0.68,0.42,1.11,0.60,247.0,84.0,93.0,17 (33%),3 (23%),16.0,13.0,1.0,659.0,273.0,307.0,34 (60%),10 (36%),24.0,27.0,1.0,,8.0,9.0,10.0,37.0,4.0,,17.0,6.0,2.0,15.0,1.0,,23.0,16 (31%),7 (25%),5 (36%),,56.0,35 (69%),21 (75%),2 (40%),,2.0,0.0,,1.0,0.0,0,0.6,1.6,41.4,1.452,13.4,6.0,2.2,58.6,1.042,10.0,3.2,2.0,21.8,16.4,0.4,0.045,0.1,0.16,0.5
